model,slug,scenario,input_size,main,n_folds,n_per_fold,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
ResNet-18,resnet18,Original Test,224 x 224,True,5,36,0.9722222222222223,0.019641855032959663,0.9719104084321476,0.020145061097642494,0.9743589743589745,0.018130943107347346,0.9722222222222223,0.01964185503295962
ResNet-18,resnet18,HoleAlign Test,224 x 224,True,5,36,0.9777777777777779,0.030429030972509243,0.9777584541062803,0.030455490999441812,0.9786324786324787,0.029258683627412737,0.9777777777777776,0.030429030972509305
ResNet-18,resnet18,Original RR,224 x 224,True,5,180,0.8866666666666667,0.015515822270854376,0.8844799831328338,0.01655438210127933,0.8935835143157324,0.015786479897633137,0.8866666666666667,0.015515822270854407
ResNet-18,resnet18,RR + HoleAlign,224 x 224,True,5,180,0.981111111111111,0.016005400323208817,0.9811313402753801,0.015969047243795928,0.9815633396439509,0.015569861485546128,0.981111111111111,0.016005400323208886
ResNet-50,resnet50,Original Test,224 x 224,True,5,36,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.9897435897435898,0.014044168141158055,0.9888888888888889,0.015214515486254621
ResNet-50,resnet50,HoleAlign Test,224 x 224,True,5,36,0.9722222222222221,0.062112999374994135,0.9729213315420212,0.06054974341222,0.9803921568627452,0.0438444701470547,0.9722222222222221,0.062112999374994135
ResNet-50,resnet50,Original RR,224 x 224,True,5,180,0.9866666666666667,0.009296222517045304,0.9866547658629818,0.009315763920790044,0.9872891771252428,0.00843752971308086,0.9866666666666667,0.009296222517045294
ResNet-50,resnet50,RR + HoleAlign,224 x 224,True,5,180,0.9855555555555556,0.026234931006927992,0.9857350941452815,0.025835354038282226,0.9869827812582062,0.023159642299494895,0.9855555555555554,0.02623493100692804
DenseNet-121,densenet121,Original Test,224 x 224,True,5,36,0.9722222222222221,0.048112522432468836,0.9715776397515528,0.04948828850002103,0.9782051282051281,0.0361483902047992,0.9722222222222221,0.048112522432468836
DenseNet-121,densenet121,HoleAlign Test,224 x 224,True,5,36,0.9722222222222223,0.02777777777777779,0.9721251984730246,0.027887252837687698,0.9746642246642245,0.02534312969742105,0.9722222222222221,0.02777777777777779
DenseNet-121,densenet121,Original RR,224 x 224,True,5,180,0.82,0.05039963746685211,0.8140074282991122,0.05386656368655768,0.8311976394833739,0.05020791795536792,0.82,0.050399637466852144
DenseNet-121,densenet121,RR + HoleAlign,224 x 224,True,5,180,0.9844444444444445,0.01900292375165229,0.9844379701996753,0.019011359714908468,0.9847799882734156,0.01860236418529275,0.9844444444444445,0.01900292375165229
DenseNet-201,densenet201,Original Test,224 x 224,True,5,36,0.9777777777777779,0.03621779114001473,0.9777391304347827,0.036280778602866964,0.9785547785547786,0.03540515541201313,0.9777777777777779,0.03621779114001473
DenseNet-201,densenet201,HoleAlign Test,224 x 224,True,5,36,0.9944444444444445,0.012422599874998837,0.9944347826086958,0.012444204396520588,0.9948717948717949,0.01146701526922965,0.9944444444444445,0.012422599874998837
DenseNet-201,densenet201,Original RR,224 x 224,True,5,180,0.8488888888888889,0.026469176110159084,0.8420522490415381,0.028116605891495845,0.8768980672377179,0.01261401923755689,0.8488888888888889,0.026469176110159056
DenseNet-201,densenet201,RR + HoleAlign,224 x 224,True,5,180,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,5,36,0.9944444444444445,0.012422599874998837,0.9944347826086956,0.012444204396520586,0.9948717948717949,0.01146701526922965,0.9944444444444445,0.012422599874998837
EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,5,36,0.9722222222222221,0.019641855032959663,0.9721155366372758,0.019779372185889977,0.9750915750915752,0.016865735433291316,0.9722222222222221,0.01964185503295962
EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,5,180,0.9377777777777778,0.020184335693983275,0.9370685188727587,0.02080445409007828,0.9444158144870636,0.015397529221536314,0.9377777777777776,0.02018433569398332
EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,5,180,0.9855555555555556,0.006334307917217464,0.9854745846801668,0.006393478025742463,0.9859669445073994,0.006040518086962707,0.9855555555555556,0.0063343079172174105
MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,5,36,0.9666666666666666,0.04564354645876386,0.9660124223602484,0.04699475915282746,0.973076923076923,0.03404081550603015,0.9666666666666666,0.04564354645876386
MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,5,36,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.9897435897435898,0.014044168141158055,0.9888888888888889,0.015214515486254621
MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,5,180,0.8655555555555555,0.025579698740491867,0.86552890181945,0.025312346706198533,0.8925888597321361,0.015149292825707589,0.8655555555555555,0.025579698740491805
MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,5,180,0.9922222222222222,0.012171612389003694,0.9921596971626482,0.012299095207221045,0.9925243215565797,0.011673897998024861,0.9922222222222222,0.012171612389003694
Inception-V3,inceptionv3,Original Test,299 x 299,False,5,36,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.9897435897435898,0.014044168141158055,0.9888888888888889,0.015214515486254621
Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,5,36,0.9833333333333334,0.015214515486254621,0.9833043478260869,0.015240975513187252,0.9846153846153847,0.014044168141158055,0.9833333333333334,0.015214515486254621
Inception-V3,inceptionv3,Original RR,299 x 299,False,5,180,0.5122222222222221,0.020563061692579716,0.46555511541640227,0.02891752914241408,0.7592295755694555,0.021824870641948477,0.5122222222222222,0.020563061692579706
Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,5,180,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
