model,scenario,class_name,precision,recall,f1,support
ResNet-18,Original Test,pro1,1.0,0.95,0.9743589743589743,60
ResNet-18,Original Test,pro2,0.9666666666666667,0.9666666666666667,0.9666666666666667,60
ResNet-18,Original Test,pro3,0.9523809523809523,1.0,0.975609756097561,60
ResNet-18,HoleAlign Test,pro1,0.9666666666666667,0.9666666666666667,0.9666666666666667,60
ResNet-18,HoleAlign Test,pro2,0.9833333333333333,0.9833333333333333,0.9833333333333333,60
ResNet-18,HoleAlign Test,pro3,0.9833333333333333,0.9833333333333333,0.9833333333333333,60
ResNet-18,Original RR,pro1,0.9041533546325878,0.9433333333333334,0.9233278955954323,300
ResNet-18,Original RR,pro2,0.9377593360995851,0.7533333333333333,0.8354898336414048,300
ResNet-18,Original RR,pro3,0.8352601156069365,0.9633333333333334,0.8947368421052632,300
ResNet-18,RR + HoleAlign,pro1,0.9797297297297297,0.9666666666666667,0.9731543624161074,300
ResNet-18,RR + HoleAlign,pro2,0.9641693811074918,0.9866666666666667,0.9752883031301482,300
ResNet-18,RR + HoleAlign,pro3,1.0,0.99,0.9949748743718593,300
ResNet-50,Original Test,pro1,1.0,1.0,1.0,60
ResNet-50,Original Test,pro2,0.967741935483871,1.0,0.9836065573770492,60
ResNet-50,Original Test,pro3,1.0,0.9666666666666667,0.9830508474576272,60
ResNet-50,HoleAlign Test,pro1,0.9230769230769231,1.0,0.96,60
ResNet-50,HoleAlign Test,pro2,1.0,0.9666666666666667,0.9830508474576272,60
ResNet-50,HoleAlign Test,pro3,1.0,0.95,0.9743589743589743,60
ResNet-50,Original RR,pro1,1.0,1.0,1.0,300
ResNet-50,Original RR,pro2,0.996551724137931,0.9633333333333334,0.9796610169491525,300
ResNet-50,Original RR,pro3,0.964516129032258,0.9966666666666667,0.980327868852459,300
ResNet-50,RR + HoleAlign,pro1,0.9614147909967846,0.9966666666666667,0.9787234042553191,300
ResNet-50,RR + HoleAlign,pro2,0.9966216216216216,0.9833333333333333,0.9899328859060402,300
ResNet-50,RR + HoleAlign,pro3,1.0,0.9766666666666667,0.9881956155143339,300
DenseNet-121,Original Test,pro1,0.9375,1.0,0.967741935483871,60
DenseNet-121,Original Test,pro2,0.9836065573770492,1.0,0.9917355371900827,60
DenseNet-121,Original Test,pro3,1.0,0.9166666666666666,0.9565217391304348,60
DenseNet-121,HoleAlign Test,pro1,0.9516129032258065,0.9833333333333333,0.9672131147540983,60
DenseNet-121,HoleAlign Test,pro2,0.9827586206896551,0.95,0.9661016949152542,60
DenseNet-121,HoleAlign Test,pro3,0.9833333333333333,0.9833333333333333,0.9833333333333333,60
DenseNet-121,Original RR,pro1,0.7932960893854749,0.9466666666666667,0.8632218844984803,300
DenseNet-121,Original RR,pro2,0.8790697674418605,0.63,0.7339805825242719,300
DenseNet-121,Original RR,pro3,0.8103975535168195,0.8833333333333333,0.8452950558213717,300
DenseNet-121,RR + HoleAlign,pro1,0.9739413680781759,0.9966666666666667,0.985172981878089,300
DenseNet-121,RR + HoleAlign,pro2,0.9831649831649831,0.9733333333333334,0.9782244556113903,300
DenseNet-121,RR + HoleAlign,pro3,0.9966216216216216,0.9833333333333333,0.9899328859060402,300
DenseNet-201,Original Test,pro1,1.0,1.0,1.0,60
DenseNet-201,Original Test,pro2,0.9666666666666667,0.9666666666666667,0.9666666666666667,60
DenseNet-201,Original Test,pro3,0.9666666666666667,0.9666666666666667,0.9666666666666667,60
DenseNet-201,HoleAlign Test,pro1,1.0,0.9833333333333333,0.9915966386554622,60
DenseNet-201,HoleAlign Test,pro2,1.0,1.0,1.0,60
DenseNet-201,HoleAlign Test,pro3,0.9836065573770492,1.0,0.9917355371900827,60
DenseNet-201,Original RR,pro1,0.9238095238095239,0.97,0.9463414634146341,300
DenseNet-201,Original RR,pro2,0.9627659574468085,0.6033333333333334,0.7418032786885246,300
DenseNet-201,Original RR,pro3,0.7355163727959698,0.9733333333333334,0.8378766140602583,300
DenseNet-201,RR + HoleAlign,pro1,1.0,1.0,1.0,300
DenseNet-201,RR + HoleAlign,pro2,1.0,1.0,1.0,300
DenseNet-201,RR + HoleAlign,pro3,1.0,1.0,1.0,300
EfficientNet-B0,Original Test,pro1,1.0,1.0,1.0,60
EfficientNet-B0,Original Test,pro2,0.9836065573770492,1.0,0.9917355371900827,60
EfficientNet-B0,Original Test,pro3,1.0,0.9833333333333333,0.9915966386554622,60
EfficientNet-B0,HoleAlign Test,pro1,1.0,0.9166666666666666,0.9565217391304348,60
EfficientNet-B0,HoleAlign Test,pro2,0.9836065573770492,1.0,0.9917355371900827,60
EfficientNet-B0,HoleAlign Test,pro3,0.9375,1.0,0.967741935483871,60
EfficientNet-B0,Original RR,pro1,0.9933774834437086,1.0,0.9966777408637874,300
EfficientNet-B0,Original RR,pro2,0.9765625,0.8333333333333334,0.8992805755395683,300
EfficientNet-B0,Original RR,pro3,0.8596491228070176,0.98,0.9158878504672897,300
EfficientNet-B0,RR + HoleAlign,pro1,1.0,0.9566666666666667,0.9778534923339012,300
EfficientNet-B0,RR + HoleAlign,pro2,0.9803921568627451,1.0,0.9900990099009901,300
EfficientNet-B0,RR + HoleAlign,pro3,0.9771986970684039,1.0,0.9884678747940692,300
MobileNet-V2,Original Test,pro1,1.0,1.0,1.0,60
MobileNet-V2,Original Test,pro2,1.0,0.9,0.9473684210526315,60
MobileNet-V2,Original Test,pro3,0.9090909090909091,1.0,0.9523809523809523,60
MobileNet-V2,HoleAlign Test,pro1,0.9836065573770492,1.0,0.9917355371900827,60
MobileNet-V2,HoleAlign Test,pro2,0.9836065573770492,1.0,0.9917355371900827,60
MobileNet-V2,HoleAlign Test,pro3,1.0,0.9666666666666667,0.9830508474576272,60
MobileNet-V2,Original RR,pro1,0.9910313901345291,0.7366666666666667,0.8451242829827916,300
MobileNet-V2,Original RR,pro2,0.7456359102244389,0.9966666666666667,0.8530670470756063,300
MobileNet-V2,Original RR,pro3,0.9384057971014492,0.8633333333333333,0.8993055555555556,300
MobileNet-V2,RR + HoleAlign,pro1,0.9933774834437086,1.0,0.9966777408637874,300
MobileNet-V2,RR + HoleAlign,pro2,0.9836065573770492,1.0,0.9917355371900827,300
MobileNet-V2,RR + HoleAlign,pro3,1.0,0.9766666666666667,0.9881956155143339,300
